SeqID,kr,InitialVelocity_m_s,InitialCallDuration_ms,CrMax_Hz,ResponsivityIndex,ResponsivityDistance_m,Responsivity_Hz,ResponsivityNorm,DeltaIpi_ms,DistanceToCeiling_Hz,BuzzReadinessIndex
550,5,2,10,190.555555555556,46,0.172849317213508,2198.14162204935,11.5354370836409,0.454929741545811,2007.58606649379,13
550,5,2,10,190.555555555556,47,0.160225016885612,2362.48865921198,12.397899669334,0.423282455177395,2171.93310365642,13
551,5,2,10,190.555555555556,1,4.82008695652174,67.0356797088446,0.351790738996852,14.9174291115312,123.519875846711,13
551,5,2,10,190.555555555556,2,4.47517829867675,84.9162835018572,0.445624811380009,11.776304364264,105.639272053698,13
551,5,2,10,190.555555555556,3,4.15696337430755,91.7914512871143,0.481704409086897,10.8942606961524,98.7641042684412,13
551,5,2,10,190.555555555556,4,3.86141901499877,98.826355895751,0.51862227583776,10.1187582091448,91.7291996598046,13
551,5,2,10,190.555555555556,5,3.58688767459529,106.3905104375,0.558317547485421,9.39933454485549,84.1650451180558,13
551,5,2,10,190.555555555556,6,3.33187442694581,114.53337706347,0.601049792169811,8.73107932062321,76.022178492086,13
551,5,2,10,190.555555555556,7,3.09499159316181,123.299472400621,0.647052624842906,8.11033478513869,67.2560831549351,13
551,5,2,10,190.555555555556,8,2.87495017348357,132.736502375371,0.696576397305152,7.53372269198462,57.8190531801849,13
551,5,2,10,190.555555555556,9,2.67055281128245,142.895818768198,0.749890594118823,6.99810539328778,47.6597367873576,13
551,5,2,10,190.555555555556,10,2.48068727716661,153.832703559391,0.807285324801471,6.50056832430253,36.7228519961642,13
551,5,2,10,190.555555555556,11,2.30432041676835,165.606669868901,0.869072903102104,6.03840413427568,24.9488856866546,13
551,5,2,10,190.555555555556,12,2.14049252882867,178.281785800369,0.93558954647424,5.60909795417772,12.2737697551865,13
551,5,2,10,190.555555555556,13,1.98831214297745,191.927023068153,1.00719720560547,5.21031371202428,1.3714675125978,13
551,5,2,10,190.555555555556,14,1.84695116879243,206.6166323073,1.08428553397417,4.83988142112733,16.0610767517447,13
551,5,2,10,190.555555555556,15,1.71564038974056,222.430547108787,1.16727400815107,4.49578537210052,31.8749915532314,13
551,5,2,10,190.555555555556,16,1.59366527748192,239.454818978606,1.25661421038336,4.17615316436519,48.8992634230506,13
551,5,2,10,190.555555555556,17,1.48036210375974,257.782085587526,1.35279228588206,3.87924551747203,67.2265300319703,13
551,5,2,10,190.555555555556,18,1.3751143287194,277.512074859481,1.45633158818387,3.60344680679697,86.9565193039257,13
551,5,2,10,190.555555555556,19,1.27734924600333,298.752147641639,1.56779552698236,3.34725627211064,108.196592086083,13
551,5,2,10,190.555555555556,20,1.18653486636617,321.617881909049,1.68779063392504,3.10927985118312,131.062326353494,13
551,5,2,10,190.555555555556,21,1.1021770228523,346.233701682838,1.81696986305862,2.88822259398663,155.678146127282,13
551,5,2,10,190.555555555556,22,1.02381668178361,372.733554084225,1.95603614388223,2.68288161621755,182.17799852867,13
551,5,2,10,190.555555555556,23,0.951027444925111,401.261638208534,2.10574620634216,2.49213955379483,210.706082652978,13
551,5,2,10,190.555555555556,24,0.883413229236629,431.973189785348,2.266914698582,2.3149584827172,241.417634229793,13
551,5,2,10,190.555555555556,25,0.820606111584659,465.03532589466,2.44041861985536,2.15037427119358,274.479770339105,13
551,5,2,10,190.555555555556,26,0.7622643266866,500.627954335347,2.62720209272194,1.99749133331486,310.072398779791,13
551,5,2,10,190.555555555556,27,0.708070407393049,538.94475259449,2.82828150049587,1.85547775571797,348.389197038934,13
551,5,2,10,190.555555555556,28,0.657729457188531,580.194221744492,3.04475101790113,1.72356077072478,389.638666188937,13
551,5,2,10,190.555555555556,29,0.610967545510456,624.600821002846,3.27778856502951,1.60102255132233,434.045265447291,13
551,5,2,10,190.555555555556,30,0.567530217154428,672.406189128223,3.52866221699942,1.48719630510318,481.850633572667,13
551,5,2,10,190.555555555556,31,0.527181107654826,723.870459299132,3.79873710419369,1.38146264591074,533.314903743576,13
551,5,2,10,190.555555555556,32,0.489700657106237,779.273674630045,4.08948284062414,1.28324622344614,588.718119074489,13
551,5,2,10,190.555555555556,33,0.454884915427005,838.917312027593,4.40248152084451,1.19201259249625,648.361756472037,13
551,5,2,10,190.555555555556,34,0.422544432563716,903.125922678871,4.73943632892702,1.10726530474707,712.570367123316,13
551,5,2,10,190.555555555556,35,0.39250322759767,982.431565388031,5.15561754431036,1.01788260397052,791.876009832475,13
551,5,2,10,190.555555555556,36,0.364587170540341,1068.84577055047,5.60910316906952,0.935588676638526,878.290214994915,13
551,5,2,10,190.555555555556,37,0.338624584763622,1148.7594730215,6.02847536862597,0.870504246959346,958.203917465948,13
551,5,2,10,190.555555555556,38,0.3144680919105,1234.64803175212,6.47920249899072,0.809947429779542,1044.09247619656,13
551,5,2,10,190.555555555556,39,0.291992050734118,1326.95816496721,6.96362885405533,0.753603260751412,1136.40260941165,13
551,5,2,10,190.555555555556,40,0.271079560248266,1426.16999038534,7.48427400202221,0.701178686090433,1235.61443482979,13
551,5,2,10,190.555555555556,41,0.251621851709257,1532.79952237673,8.04384589002366,0.652401038362419,1342.24396682118,13
551,5,2,10,190.555555555556,42,0.2335177228947,1647.4013558255,8.6452549285303,0.607016618302411,1456.84580026994,13
551,5,2,10,190.555555555556,43,0.216673011736808,1770.57155065355,9.29162912879417,0.564789375290075,1580.015995098,13
551,5,2,10,190.555555555556,44,0.201000106572508,1902.95073201087,9.98633037206872,0.52549967961771,1712.39517645532,13
551,5,2,10,190.555555555556,45,0.186417490463116,2045.22742225457,10.7329718952135,0.488943180166068,1854.67186669902,13
551,5,2,10,190.555555555556,46,0.172849317213508,2198.14162204935,11.5354370836409,0.454929741545811,2007.58606649379,13
551,5,2,10,190.555555555556,47,0.160225016885612,2362.48865921198,12.397899669334,0.423282455177395,2171.93310365642,13
552,5,2,10,190.555555555556,1,4.82008695652174,67.0356797088446,0.351790738996852,14.9174291115312,123.519875846711,13
552,5,2,10,190.555555555556,2,4.47517829867675,84.9162835018572,0.445624811380009,11.776304364264,105.639272053698,13
552,5,2,10,190.555555555556,3,4.15696337430755,91.7914512871143,0.481704409086897,10.8942606961524,98.7641042684412,13
552,5,2,10,190.555555555556,4,3.86141901499877,98.826355895751,0.51862227583776,10.1187582091448,91.7291996598046,13
552,5,2,10,190.555555555556,5,3.58688767459529,106.3905104375,0.558317547485421,9.39933454485549,84.1650451180558,13
552,5,2,10,190.555555555556,6,3.33187442694581,114.53337706347,0.601049792169811,8.73107932062321,76.022178492086,13
552,5,2,10,190.555555555556,7,3.09499159316181,123.299472400621,0.647052624842906,8.11033478513869,67.2560831549351,13
552,5,2,10,190.555555555556,8,2.87495017348357,132.736502375371,0.696576397305152,7.53372269198462,57.8190531801849,13
552,5,2,10,190.555555555556,9,2.67055281128245,142.895818768198,0.749890594118823,6.99810539328778,47.6597367873576,13
552,5,2,10,190.555555555556,10,2.48068727716661,153.832703559391,0.807285324801471,6.50056832430253,36.7228519961642,13
552,5,2,10,190.555555555556,11,2.30432041676835,165.606669868901,0.869072903102104,6.03840413427568,24.9488856866546,13
552,5,2,10,190.555555555556,12,2.14049252882867,178.281785800369,0.93558954647424,5.60909795417772,12.2737697551865,13
552,5,2,10,190.555555555556,13,1.98831214297745,191.927023068153,1.00719720560547,5.21031371202428,1.3714675125978,13
552,5,2,10,190.555555555556,14,1.84695116879243,206.6166323073,1.08428553397417,4.83988142112733,16.0610767517447,13
552,5,2,10,190.555555555556,15,1.71564038974056,222.430547108787,1.16727400815107,4.49578537210052,31.8749915532314,13
552,5,2,10,190.555555555556,16,1.59366527748192,239.454818978606,1.25661421038336,4.17615316436519,48.8992634230506,13
552,5,2,10,190.555555555556,17,1.48036210375974,257.782085587526,1.35279228588206,3.87924551747203,67.2265300319703,13
552,5,2,10,190.555555555556,18,1.3751143287194,277.512074859481,1.45633158818387,3.60344680679697,86.9565193039257,13
552,5,2,10,190.555555555556,19,1.27734924600333,298.752147641639,1.56779552698236,3.34725627211064,108.196592086083,13
552,5,2,10,190.555555555556,20,1.18653486636617,321.617881909049,1.68779063392504,3.10927985118312,131.062326353494,13
552,5,2,10,190.555555555556,21,1.1021770228523,346.233701682838,1.81696986305862,2.88822259398663,155.678146127282,13
552,5,2,10,190.555555555556,22,1.02381668178361,372.733554084225,1.95603614388223,2.68288161621755,182.17799852867,13
552,5,2,10,190.555555555556,23,0.951027444925111,401.261638208534,2.10574620634216,2.49213955379483,210.706082652978,13
552,5,2,10,190.555555555556,24,0.883413229236629,431.973189785348,2.266914698582,2.3149584827172,241.417634229793,13
552,5,2,10,190.555555555556,25,0.820606111584659,465.03532589466,2.44041861985536,2.15037427119358,274.479770339105,13
552,5,2,10,190.555555555556,26,0.7622643266866,500.627954335347,2.62720209272194,1.99749133331486,310.072398779791,13
552,5,2,10,190.555555555556,27,0.708070407393049,538.94475259449,2.82828150049587,1.85547775571797,348.389197038934,13
552,5,2,10,190.555555555556,28,0.657729457188531,580.194221744492,3.04475101790113,1.72356077072478,389.638666188937,13
552,5,2,10,190.555555555556,29,0.610967545510456,624.600821002846,3.27778856502951,1.60102255132233,434.045265447291,13
552,5,2,10,190.555555555556,30,0.567530217154428,672.406189128223,3.52866221699942,1.48719630510318,481.850633572667,13
552,5,2,10,190.555555555556,31,0.527181107654826,723.870459299132,3.79873710419369,1.38146264591074,533.314903743576,13
552,5,2,10,190.555555555556,32,0.489700657106237,779.273674630045,4.08948284062414,1.28324622344614,588.718119074489,13
552,5,2,10,190.555555555556,33,0.454884915427005,838.917312027593,4.40248152084451,1.19201259249625,648.361756472037,13
552,5,2,10,190.555555555556,34,0.422544432563716,903.125922678871,4.73943632892702,1.10726530474707,712.570367123316,13
552,5,2,10,190.555555555556,35,0.39250322759767,982.431565388031,5.15561754431036,1.01788260397052,791.876009832475,13
552,5,2,10,190.555555555556,36,0.364587170540341,1068.84577055047,5.60910316906952,0.935588676638526,878.290214994915,13
552,5,2,10,190.555555555556,37,0.338624584763622,1148.7594730215,6.02847536862597,0.870504246959346,958.203917465948,13
552,5,2,10,190.555555555556,38,0.3144680919105,1234.64803175212,6.47920249899072,0.809947429779542,1044.09247619656,13
552,5,2,10,190.555555555556,39,0.291992050734118,1326.95816496721,6.96362885405533,0.753603260751412,1136.40260941165,13
552,5,2,10,190.555555555556,40,0.271079560248266,1426.16999038534,7.48427400202221,0.701178686090433,1235.61443482979,13
552,5,2,10,190.555555555556,41,0.251621851709257,1532.79952237673,8.04384589002366,0.652401038362419,1342.24396682118,13
552,5,2,10,190.555555555556,42,0.2335177228947,1647.4013558255,8.6452549285303,0.607016618302411,1456.84580026994,13
552,5,2,10,190.555555555556,43,0.216673011736808,1770.57155065355,9.29162912879417,0.564789375290075,1580.015995098,13
552,5,2,10,190.555555555556,44,0.201000106572508,1902.95073201087,9.98633037206872,0.52549967961771,1712.39517645532,13
